"SG_UF_RESIDENCIA","NU_IDADE","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","TP_NACIONALIDADE","TP_ST_CONCLUSAO","TP_ENSINO","IN_TREINEIRO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","Q006","Q047","NU_NOTA_REDACAO"
"711",1,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.697916666666667,0.772609819121447,0.710144927536232,0.588342440801457,1,0.25,640
"714",0.590909090909091,0.142857142857143,0,0,0.333333333333333,1,2,0,0,0.614583333333333,0.589147286821705,0.358695652173913,0.236794171220401,0,0.75,480
"758",0.636363636363636,0.142857142857143,0,0,0.333333333333333,1,2,0,0,0.645833333333333,0.832041343669251,0.992753623188406,0.892531876138434,0.9375,0.75,920
"767",0.636363636363636,0.142857142857143,0,0,0.333333333333333,1,2,0,0,0.690104166666667,0.643410852713178,0.728260869565217,0.692167577413479,0.6875,1,700
"784",0.0454545454545455,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.653645833333333,0.51937984496124,0.66304347826087,0.646630236794171,0.9375,1,680
"795",0.954545454545455,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.682291666666667,0.700258397932817,0.746376811594203,0.624772313296903,0.4375,0.75,640
"801",0.590909090909091,0.142857142857143,0,0,0.333333333333333,1,2,1,0,0.4453125,0.609819121447028,0.510869565217391,0.608378870673953,0,0,560
"813",0.954545454545455,0.0714285714285714,0,0,1,1,2,0,0,0.2734375,0.359173126614987,0.492753623188406,0.264116575591985,0.1875,0,640
"819",0.818181818181818,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.630208333333333,0.700258397932817,0.778985507246377,0.672131147540984,0.8125,0.75,680
"868",0.636363636363636,0.142857142857143,1,0,0.333333333333333,1,2,0,0,0.1875,0.493540051679587,0.398550724637681,0.0728597449908925,0.1875,1,520
"888",0.590909090909091,0,0,0,1,1,2,0,0,0.481770833333333,0.65374677002584,0.528985507246377,0.608378870673953,0.25,1,540
"902",0.136363636363636,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.221354166666667,0.416020671834625,0.615942028985507,0.4408014571949,0.125,0,460
"923",0.590909090909091,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.447916666666667,0.547803617571059,0.681159420289855,0.446265938069217,0.4375,0.5,780
"965",0.318181818181818,0.142857142857143,0,0,0.333333333333333,1,2,0,0,0.3203125,0.534883720930233,0.634057971014493,0.285974499089253,0.0625,0,720
"976",0.954545454545455,0.0714285714285714,0,0,1,1,2,0,0,0.3046875,0.501291989664083,0.521739130434783,0.500910746812386,0.25,0,620
