FCL;WM;Expected
582.4420050043067;592.4283922450785;480.0
568.4139439461625;626.7919742983917;500.0
608.7251360436952;653.8862937730665;660.0
761.4831307084612;705.7382173461401;840.0
529.4882013351876;502.05284123842307;440.0
519.8305848118786;542.8093506208264;600.0
363.446340058847;429.2996155061618;360.0
294.0031359999998;294.0;540.0
513.2294906321256;514.3988069066895;560.0
675.045960236794;646.1676282319331;620.0
807.7486723658966;823.8792786050664;820.0
775.2389020929487;788.0557592806116;920.0
692.5385065254222;697.0181000848578;760.0
630.9617593773037;603.0853837098884;760.0
519.5040425222865;585.6062295371618;680.0
652.8401713116484;669.9684323956544;0.0
453.5819462642928;471.39562676572916;640.0
588.1959999999992;588.0;580.0
737.33725790891;710.45102515921;920.0
456.88457583776454;536.31688242162;600.0
619.3952366853872;632.5836258056289;640.0
473.7689462540168;535.5573436471053;420.0
553.4597090941404;577.7669473199962;780.0
466.50742001019455;525.0075498692192;380.0
504.7419524330985;541.9771948937818;600.0
477.90285950724945;566.8117683104241;600.0
399.4029491022494;453.32632863669;440.0
487.343348793312;551.3320384093863;580.0
464.0550064743001;547.8203024415933;620.0
712.6178852757853;681.4316379645703;580.0
487.43291231284576;560.7970858717377;640.0
791.8492338583264;796.4339394390774;740.0
790.8211686151301;807.8496029093748;760.0
467.1307312364959;530.5717063130721;420.0
382.92579067090344;398.72535979791655;660.0
688.2981891680142;681.1231115464044;720.0
500.13855622992264;530.6875739713221;520.0
690.1439068567269;679.3969434710481;740.0
679.8566201615563;676.4489183184106;840.0
683.0512100667769;664.7228900293384;760.0
497.4413792494628;552.5938736211439;540.0
515.4285857744103;575.6213958941694;560.0
659.9967839846945;635.1684735581974;600.0
610.0303869873843;638.3564962988886;540.0
368.4382646069451;405.05470508305564;440.0
495.69444877061153;511.3429645623543;720.0
484.6123058591009;541.741886168428;540.0
539.7396249769077;611.3428315310457;760.0
686.5319525752274;653.5370573897968;640.0
634.7970548713839;646.8409604555053;600.0
480.92119483488784;546.4785843887707;400.0
592.4828984822899;598.0936753819722;620.0
469.26913256374615;529.4607522645882;400.0
476.97268704346396;559.7518662999481;440.0
583.0616499416054;580.7723530856009;600.0
491.70065652704966;520.8510904295737;620.0
467.64218152630536;497.8170491784051;580.0
646.4893571711603;631.9179125217815;520.0
617.1888945638317;645.8787330819023;720.0
476.87511050966384;557.4973518616989;440.0
525.0509760505806;533.275304749444;680.0
703.5030881513838;733.5310932909184;820.0
740.0388644549757;702.8268979945702;740.0
751.8416575863079;773.2299805834597;720.0
612.439792528051;541.3850857712238;540.0
646.7766987561005;628.0102552388281;680.0
543.5276250007727;587.3924383257904;520.0
562.7058730389483;610.1101327126779;480.0
743.5155406239094;747.9798385106991;640.0
427.265224399791;523.0727260148468;400.0
428.52675122829805;469.8899515682418;760.0
418.4891392261878;401.6634226455821;340.0
727.1350231855573;718.2070517625608;0.0
557.864384818031;598.4387870288643;600.0
507.37992608818803;541.0402915996922;440.0
318.04499125716575;350.6940660025139;460.0
666.5141372828282;643.0995596301367;540.0
622.0350110107606;623.5197405295913;340.0
732.0617701197256;720.2154223486189;720.0
478.7830574036199;542.3389735664867;460.0
489.5892537208199;558.0689232994072;680.0
641.7350031031175;646.8;780.0
431.93209005533566;559.1500121424147;680.0
402.6426227206211;462.4433499716332;320.0
407.3342863931966;436.177893392048;440.0
539.5324167760626;596.3688525349671;580.0
687.6504222455742;663.6622769985423;540.0
535.9573235356238;527.1522847692368;560.0
460.7367739830443;541.074613312214;560.0
454.4953482569271;517.2285973171944;520.0
736.5480292849924;718.5294363790347;600.0
690.4313795501486;680.9221674285121;640.0
625.5535275380487;600.6607985074451;500.0
410.86102269704014;500.6296439343778;400.0
775.8065557640383;800.3723418202405;900.0
611.2098041963294;676.890147452642;460.0
398.78727959987316;501.0819670571502;400.0
809.441733965362;783.017192706652;760.0
556.8970252434921;633.5842408476287;700.0
838.7626430469452;853.5700911083765;680.0
483.80018089976846;464.82423089377625;600.0
558.0181885398803;579.987530445282;840.0
749.1178821795447;747.1870586721155;880.0
438.4254627363295;507.63920832222936;500.0
509.57951819860006;495.6409893855837;480.0
645.2859901789828;630.8821284718118;720.0
